label,text
Fungal Wilt,Several plants have yellowing foliage The plant is losing vigor.
Leaf Blight,Field inspection revealed dry patches spreading The problem is visible on the leaf margins.
Leaf Blight,The leaves or stems show large brown patches Plant growth is affected.
Fruit Borer,Several plants have early fruit dropping Plant growth is affected.
Stem Borer,The farmer reports larvae inside stems The affected main branches are showing damage.
Late Blight,The plants have started showing blackened foliage The affected stems are showing damage.
Fruit Borer,The crop shows webbing near fruit holes The affected fruits are showing damage.
Fusarium Wilt,The affected plants are showing one sided wilting Plant growth is affected.
Powdery Mildew,"After checking the field, I observed white fungal coating."
Late Blight,Several plants have brown lesions after wet weather.
Mosaic Virus,Recently the plants developed mosaic markings on young leaves The plant is losing vigor.
Damping Off,Recently the plants developed brown tissue around seedling bases The symptoms are visible across several plants.
Damping Off,"During inspection, I found young plants falling over Affected seedlings are becoming weak."
Leaf Curl,There are clear signs of distorted foliage The problem is visible on the plant tips.
Nutrient Deficiency,The crop appears to have uniform leaf discoloration Plant growth is affected.
Root Rot,The crop is developing mushy root tissue The affected root tips look unhealthy.
Downy Mildew,The crop is developing angular yellow spots The affected leaves look unhealthy.
Bacterial Wilt,The affected plants are showing plant remaining wilted after watering The problem is becoming more noticeable.
Stem Borer,Field inspection revealed broken stems around bore holes Farmers are concerned about the crop condition.
Nutrient Deficiency,"During inspection, I found poor leaf development The plant is losing vigor."
Leaf Blight,I noticed leaves becoming brittle in the field Plant growth is affected.
Sooty Mold,The plants have started showing sooty appearance on foliage The problem is visible on the leaves.
Mosaic Virus,Recently the plants developed patchy yellow patterns The problem is becoming more noticeable.
Rust,A noticeable problem is small orange fungal spots The problem is visible on the leaf surfaces.
Thrips Infestation,The main symptom is black specks on leaves The problem is visible on the buds.
Aphid Infestation,There is an increasing problem with small green insects on young leaves The affected young shoots look unhealthy.
Late Blight,The crop condition includes rapid leaf browning The affected leaves are showing damage.
Thrips Infestation,The plants have started showing damaged flower petals The problem is becoming more noticeable.
Bacterial Leaf Spot,The crop is developing leaf spots becoming larger The plant is losing vigor.
Aphid Infestation,The main symptom is ants around the plant The plant is losing vigor.
Stem Borer,The crop shows holes in stems.
Late Blight,Field inspection revealed blackened foliage The affected lower foliage are showing damage.
Root Rot,The crop is developing black roots Plant growth is affected.
Fungal Wilt,The leaves or stems show one side of the plant wilting The symptoms are visible across several plants.
Powdery Mildew,The affected plants are showing white spots spreading across leaves The affected stems look unhealthy.
Bacterial Leaf Spot,There is an increasing problem with wet looking lesions on foliage Farmers are concerned about the crop condition.
Whitefly Infestation,The affected plants are showing tiny white insects flying around leaves Leaves are becoming yellow.
Powdery Mildew,There are clear signs of white fungal coating Plant growth is affected.
Bacterial Leaf Spot,The crop appears to have multiple dark spots on leaves The affected young foliage are showing damage.
Nutrient Deficiency,I noticed poor leaf development in the field Overall plant vigor is reduced.
Rust,The affected crop has orange spots on leaves The affected leaves are showing damage.
Sooty Mold,The field currently has plants with black patches on leaf surfaces The problem is visible on the upper foliage.
Thrips Infestation,The affected crop has damaged flower petals The plant is losing vigor.
Aphid Infestation,The crop appears to have curled young leaves The plant is losing vigor.
Late Blight,There is an increasing problem with blackened foliage The problem is becoming more noticeable.
Sooty Mold,The field currently has plants with dark fungal layer on foliage The symptoms are visible across several plants.
Whitefly Infestation,"During inspection, I found sticky honeydew from insects The affected leaf undersides are showing damage."
Downy Mildew,There are clear signs of angular yellow spots The affected leaves look unhealthy.
Late Blight,The plants have started showing dark spots on stems Plant growth is affected.
Bacterial Leaf Spot,A noticeable problem is leaf spots becoming larger The plant is losing vigor.
Thrips Infestation,The crop appears to have brown feeding marks The symptoms are visible across several plants.
Whitefly Infestation,The farmer noticed small white flies rising when disturbed yesterday Plant growth is affected.
Leaf Blight,The crop condition includes dark lesions on foliage The problem is becoming more noticeable.
Powdery Mildew,The crop appears to have whitish coating on young shoots The affected young shoots are showing damage.
Fusarium Wilt,There is an increasing problem with persistent daytime wilt The affected vascular tissue look unhealthy.
Fungal Wilt,The affected crop has lower leaves turning yellow The symptoms are visible across several plants.
Downy Mildew,There are clear signs of yellowing foliage with gray growth The symptoms are visible across several plants.
Fruit Borer,The crop is developing damaged young fruits Farmers are concerned about the crop condition.
Stem Borer,A noticeable problem is hollow stems The problem is visible on the stems.
Fungal Wilt,The farmer noticed one side of the plant wilting yesterday Plant growth is affected.
Sooty Mold,"During inspection, I found dark fungal layer on foliage Plant growth is affected."
Whitefly Infestation,"After checking the field, I observed tiny white insects flying around leaves The affected leaf undersides look unhealthy."
Sooty Mold,The plants currently have gray black film on leaves The plant is losing vigor.
Root Rot,Field inspection revealed mushy root tissue The affected root tips are showing damage.
Whitefly Infestation,"During inspection, I found sticky leaves The symptoms are visible across several plants."
Damping Off,The affected crop has soft stems near the soil Plant growth is affected.
Stem Borer,The crop shows larvae inside stems Farmers are concerned about the crop condition.
Downy Mildew,"During inspection, I found irregular pale patches Farmers are concerned about the crop condition."
Damping Off,Recently the plants developed soft stems near the soil The problem is becoming more noticeable.
Fungal Wilt,The plants currently have drooping leaves The problem is becoming more noticeable.
Late Blight,Many plants in the field show dark spots on stems The problem is becoming more noticeable.
Downy Mildew,I noticed pale yellow leaf lesions in the field.
Downy Mildew,The plants have started showing moist fungal growth The plant is losing vigor.
Downy Mildew,The crop appears to have gray fungal growth under leaves Farmers are concerned about the crop condition.
Root Rot,Field inspection revealed roots turning brown.
Whitefly Infestation,I can see white insects under leaves on the crop The affected leaf undersides look unhealthy.
Damping Off,I can see young seedlings suddenly dying on the crop The problem is visible on the seedlings.
Fusarium Wilt,Recently the plants developed leaf curling with wilt Affected branches become weak.
Downy Mildew,The field currently has plants with irregular pale patches The affected leaf undersides are showing damage.
Leaf Blight,The crop appears to have irregular brown lesions The problem is visible on the leaves.
Root Rot,I noticed dark damaged roots in the field The affected underground roots look unhealthy.
Mosaic Virus,The crop is developing mottled foliage The affected plant tips look unhealthy.
Fusarium Wilt,There is an increasing problem with leaf curling with wilt The problem is visible on the lower leaves.
Stem Borer,I can see wilting central shoots on the crop The symptoms are visible across several plants.
Rust,The field currently has plants with rust colored dust The plant is losing vigor.
Leaf Curl,The leaves or stems show curled leaf margins Plant growth is affected.
Nutrient Deficiency,A noticeable problem is yellowing between leaf veins Plant growth is affected.
Root Rot,I can see bad smell from roots on the crop The affected plant base are showing damage.
Aphid Infestation,The farmer reports yellowing leaves The problem is visible on the leaves.
Whitefly Infestation,The crop shows white insects clustered beneath foliage The affected young foliage are showing damage.
Aphid Infestation,The plants are showing yellowing leaves The affected foliage is becoming weak.
Late Blight,A noticeable problem is dark spots on stems The affected leaves look unhealthy.
Rust,The plants are showing reddish brown spots The plant is losing vigor.
Aphid Infestation,The farmer noticed sticky honeydew on foliage yesterday The affected young shoots are showing damage.
Late Blight,The leaves or stems show rotting leaves The problem is becoming more noticeable.
Whitefly Infestation,"During inspection, I found sticky honeydew from insects The problem is visible on the young foliage."
Bacterial Wilt,A noticeable problem is sudden wilting of the plant The affected branches look unhealthy.
Thrips Infestation,Many plants in the field show black specks on leaves The problem is visible on the leaves.
Thrips Infestation,The crop is developing black specks on leaves Affected foliage is becoming weak.
Root Rot,The field currently has plants with bad smell from roots The affected roots are showing damage.
Leaf Blight,The leaves or stems show brown spots on leaves The problem is visible on the leaf tips.
Stem Borer,The plants currently have wilting central shoots The affected central shoots look unhealthy.
Thrips Infestation,The affected crop has distorted new growth The affected leaves look unhealthy.
Mosaic Virus,The plants have started showing mottled foliage.
Fusarium Wilt,Field inspection revealed stem discoloration The symptoms are visible across several plants.
Sooty Mold,The crop shows black patches on leaf surfaces The plant is losing vigor.
Fruit Borer,The plants have started showing frass near fruit openings The symptoms are visible across several plants.
Root Rot,The plants are showing poor root development The problem is visible on the underground roots.
Aphid Infestation,The main symptom is soft bodied insects under leaves New leaves look distorted.
Damping Off,The farmer reports seedlings dying soon after emergence The affected plant base are showing damage.
Leaf Curl,The affected plants are showing new growth becoming twisted Plant growth is affected.
Bacterial Wilt,The leaves or stems show green leaves drooping rapidly Plant growth is affected.
Bacterial Leaf Spot,Several plants have irregular spots spreading across leaves The plant is losing vigor.
Powdery Mildew,The main symptom is white fungal patches on upper leaves The problem is becoming more noticeable.
Bacterial Wilt,A noticeable problem is branches becoming limp Wilting is spreading quickly.
Late Blight,The field currently has plants with large dark lesions on leaves Leaves are dying quickly.
Whitefly Infestation,The plants currently have leaf yellowing with whiteflies The plant is losing vigor.
Aphid Infestation,A noticeable problem is soft bodied insects under leaves The symptoms are visible across several plants.
Downy Mildew,"During inspection, I found grayish coating on leaf undersides The affected leaf undersides are showing damage."
Fungal Wilt,The field currently has plants with one side of the plant wilting The problem is visible on the leaves.
Mosaic Virus,The crop condition includes yellow green leaf markings Farmers are concerned about the crop condition.
Downy Mildew,Many plants in the field show angular yellow spots Farmers are concerned about the crop condition.
Sooty Mold,Several plants have dark mold covering plant surfaces The problem is becoming more noticeable.
Stem Borer,The plants currently have frass coming from stem openings Farmers are concerned about the crop condition.
Bacterial Leaf Spot,The affected crop has small water soaked spots on leaves The affected leaves look unhealthy.
Fusarium Wilt,The leaves or stems show persistent daytime wilt The affected stems are showing damage.
Leaf Blight,The crop shows dead tissue on foliage.
