disease,crop,description,symptoms,causes,favorable_conditions,prevention,management,treatment
Fungal Wilt,Various crops,A fungal disease group that interferes with water movement through the plant and can cause progressive wilting.,"Wilting, yellowing, reduced growth, and discoloration of vascular tissue may occur; symptoms can progress even when soil has adequate moisture.",Caused by soil-borne fungal pathogens that infect roots or vascular tissues.,"Warm conditions, infected soil or planting material, poor sanitation, and repeated cropping can increase risk.","Use healthy planting material, maintain field sanitation, avoid moving contaminated soil, and use crop rotation where appropriate.","Remove severely affected plants, improve field hygiene, manage irrigation carefully, and use resistant varieties when available.","There is no single treatment for all fungal wilts. Use crop-specific, locally approved fungicides or biological/soil-management measures only when appropriate."
Leaf Blight,Various crops,A broad term for diseases that produce dead or blighted areas on leaves.,"Brown, tan, or dark lesions on leaves that may enlarge and merge, followed by drying or premature leaf loss.",May be caused by different fungal or bacterial pathogens depending on the crop.,"High humidity, prolonged leaf wetness, poor air circulation, and infected crop debris can favor disease development.","Use clean seed or planting material, remove infected debris, improve airflow, and avoid unnecessary overhead irrigation.","Remove heavily affected material, maintain sanitation, manage irrigation, and use resistant varieties when available.","Treatment depends on the causal pathogen and crop. Use only crop-specific, locally approved products after diagnosis."
Fruit Borer,Fruit and vegetable crops,An insect pest problem in which caterpillars bore into fruits or other reproductive plant parts.,"Entry holes, frass near holes, internal feeding damage, premature fruit decay, and damaged or deformed fruits.",Larvae of fruit-boring moths or other insects feed inside fruits.,"Warm weather, susceptible crop stages, nearby host plants, and inadequate pest monitoring can increase infestations.","Scout regularly, remove damaged fruits, maintain field sanitation, use pheromone or light traps where suitable, and encourage natural enemies.","Monitor pest levels, remove infested fruits, conserve beneficial insects, and use integrated pest management practices.","If intervention is justified, use a crop- and pest-specific, locally approved insecticide according to its label and resistance-management guidance."
Stem Borer,Various cereal and crop plants,An insect pest problem in which larvae tunnel into stems and disrupt plant growth and transport.,"Wilting or drying shoots, dead hearts in young plants, stem holes, frass, weak stems, and reduced grain or fruit production.",Larvae of stem-boring insects enter and feed within plant stems.,"Warm conditions, continuous host availability, crop residue, and inadequate monitoring can favor infestation.","Use healthy planting material, remove or manage infested residues, rotate crops where appropriate, and monitor regularly.","Scout for early symptoms, remove severely infested plants when practical, conserve natural enemies, and use integrated pest management.","Use only crop-specific, locally approved insecticides or other controls when pest thresholds justify treatment."
Late Blight,Potato and tomato,A destructive blight disease that can rapidly damage foliage and fruit or tubers under favorable conditions.,"Water-soaked or dark lesions on leaves, rapid browning and collapse of foliage, and dark lesions on fruit or tubers.",Caused by the oomycete pathogen Phytophthora infestans.,"Cool to mild temperatures combined with high humidity, rain, fog, and prolonged leaf wetness favor epidemics.","Use healthy planting material, remove volunteer plants and infected debris, improve airflow, and avoid prolonged leaf wetness.","Scout frequently, remove infected material where feasible, manage irrigation, and follow local disease-management programs.",Preventive or early fungicide programs may be used where locally registered; rotate modes of action and follow the product label.
Fusarium Wilt,Various crops,A vascular wilt disease caused by Fusarium species that can persist in soil and infect plant roots.,"Yellowing, one-sided or progressive wilting, stunting, and brown discoloration of vascular tissue may occur.",Soil-borne Fusarium pathogens enter through roots and colonize vascular tissues.,"Warm soil, susceptible varieties, contaminated soil or planting material, and repeated cultivation of host crops can increase risk.","Use resistant varieties where available, clean planting material, sanitation, crop rotation where effective, and avoid moving infested soil.","Remove severely affected plants, maintain sanitation, manage irrigation, and use resistant varieties or grafted material where appropriate.",Management is mainly preventive and integrated; crop-specific biological or chemical options should be selected using local recommendations.
Powdery Mildew,Various crops,A group of fungal diseases characterized by powdery fungal growth on plant surfaces.,"White or gray powdery patches on leaves, stems, or other plant parts, followed by yellowing, distortion, or premature aging.",Caused by powdery mildew fungi that grow on plant surfaces.,"Moderate temperatures, humid air, dense canopies, and poor air circulation can favor disease development.","Provide adequate spacing and airflow, remove heavily infected material, and avoid excessive nitrogen that produces very dense growth.","Scout early, remove severely affected tissue, improve canopy ventilation, and use resistant varieties where available.",Registered fungicides or other approved products may be effective when applied early; rotate modes of action and follow labels.
Mosaic Virus,Various crops,A group of viral diseases that cause characteristic mosaic or mottled patterns and can reduce plant vigor and yield.,"Light and dark green mosaic patterns, mottling, leaf distortion, stunting, and reduced fruit or seed production.","Caused by plant viruses that may spread through infected planting material, contact, tools, or insect vectors depending on the virus.","Infected seed or planting material, vector activity, contaminated tools, and susceptible crops can promote spread.","Use certified healthy planting material, remove infected plants, disinfect tools, control relevant vectors, and manage weeds that may host viruses.","Remove infected plants where appropriate, control vectors, maintain sanitation, and use resistant varieties when available.","There is no curative treatment for an infected plant. Management focuses on prevention, sanitation, vector control, and resistant varieties."
Damping Off,Seedlings of various crops,A disease complex that causes seeds or young seedlings to rot and collapse.,"Poor emergence, rotting seeds, water-soaked lesions at the stem base, seedling collapse, and rapid death.","Often associated with soil- or water-borne pathogens including Pythium, Phytophthora, and Rhizoctonia species.","Overwatering, poor drainage, high humidity, overcrowded seedlings, and contaminated growing media favor disease.","Use clean seed and growing media, provide drainage, avoid overwatering, ensure ventilation, and avoid overcrowding.","Remove diseased seedlings, reduce excess moisture, improve drainage and airflow, and sanitize containers and tools.","Where registered, crop-specific seed treatments or fungicidal drenches may be used according to local recommendations and labels."
Leaf Curl,Various crops,"Leaf curling is a symptom rather than one single disease and may result from viruses, insects, environmental stress, or other causes.","Upward or downward curling, puckering, distortion, yellowing, reduced leaf size, and sometimes stunting.","Possible causes include viral infection, sap-sucking insects, heat or water stress, herbicide injury, and nutrient imbalance.","Conditions depend on the cause; vector activity, environmental stress, or exposure to damaging chemicals can contribute.","Use healthy planting material, monitor insect vectors, maintain appropriate irrigation and nutrition, and prevent spray drift.","Inspect plants and undersides of leaves, identify the underlying cause, remove severely affected plants when appropriate, and correct environmental stresses.",Treatment depends on the cause. Viral leaf curl has no curative treatment; control vectors and use resistant varieties where available.
